"State","County","f0408","f0812","f1216"
"FL","Nassau",0,0,0
"FL","Okaloosa",0,0,0
"FL","Okeechobee",0,0,0
"FL","Orange",0,0,0
"FL","Osceola",1,0,0
"FL","Palm Beach",0,0,0
"FL","Pasco",0,0,0
"FL","Pinellas",1,0,-1
"FL","Polk",0,0,0
"FL","Putnam",0,0,0
"FL","Santa Rosa",0,0,0
"FL","Sarasota",0,0,0
"FL","Seminole",0,0,0
"FL","St. Johns",0,0,0
"FL","St. Lucie",0,0,-1
"FL","Sumter",0,0,0
"FL","Suwannee",0,0,0
"FL","Taylor",0,0,0
"FL","Union",0,0,0
"FL","Volusia",0,-1,0
"FL","Wakulla",0,0,0
"FL","Walton",0,0,0
"FL","Washington",0,0,0
"GA","Appling",0,0,0
"GA","Atkinson",0,0,0
"GA","Bacon",0,0,0
"GA","Baker",0,0,-1
"GA","Baldwin",1,0,0
"GA","Banks",0,0,0
"GA","Barrow",0,0,0
"GA","Bartow",0,0,0
"GA","Ben Hill",0,0,0
"GA","Berrien",0,0,0
"GA","Bibb",0,0,0
"GA","Bleckley",0,0,0
"GA","Brantley",0,0,0
"GA","Brooks",0,0,0
"GA","Bryan",0,0,0
"GA","Bulloch",0,0,0
"GA","Burke",1,0,0
"GA","Butts",0,0,0
"GA","Calhoun",0,0,0
"GA","Camden",0,0,0
"GA","Candler",0,0,0
"GA","Carroll",0,0,0
"GA","Catoosa",0,0,0
"GA","Charlton",0,0,0
"GA","Chatham",0,0,0
"GA","Chattahoochee",1,-1,0
"GA","Chattooga",0,0,0
"GA","Cherokee",0,0,0
"GA","Clarke",0,0,0
"GA","Clay",0,0,0
"GA","Clayton",0,0,0
"GA","Clinch",0,0,0
"GA","Cobb",0,0,1
"GA","Coffee",0,0,0
"GA","Colquitt",0,0,0
"GA","Columbia",0,0,0
"GA","Cook",0,0,0
"GA","Coweta",0,0,0
"GA","Crawford",0,0,0
"GA","Crisp",0,0,0
"GA","Dade",0,0,0
"GA","Dawson",0,0,0
"GA","Decatur",0,0,0
"GA","DeKalb",0,0,0
"GA","Dodge",0,0,0
"GA","Dooly",0,0,-1
"GA","Dougherty",0,0,0
"GA","Douglas",1,0,0
"GA","Early",0,1,-1
"GA","Echols",0,0,0
"GA","Effingham",0,0,0
"GA","Elbert",0,0,0
"GA","Emanuel",0,0,0
"GA","Evans",0,0,0
"GA","Fannin",0,0,0
"GA","Fayette",0,0,0
"GA","Floyd",0,0,0
"GA","Forsyth",0,0,0
"GA","Franklin",0,0,0
"GA","Fulton",0,0,0
"GA","Gilmer",0,0,0
"GA","Glascock",0,0,0
"GA","Glynn",0,0,0
"GA","Gordon",0,0,0
"GA","Grady",0,0,0
"GA","Greene",0,0,0
"GA","Gwinnett",0,0,1
"GA","Habersham",0,0,0
"GA","Hall",0,0,0
"GA","Hancock",0,0,0
"GA","Haralson",0,0,0
"GA","Harris",0,0,0
"GA","Hart",0,0,0
"GA","Heard",0,0,0
"GA","Henry",0,0,1
"GA","Houston",0,0,0
"GA","Irwin",0,0,0
"GA","Jackson",0,0,0
"GA","Jasper",0,0,0
"GA","Jeff Davis",0,0,0
"GA","Jefferson",0,0,0
"GA","Jenkins",0,0,0
"GA","Johnson",0,0,0
"GA","Jones",0,0,0
"GA","Lamar",0,0,0
"GA","Lanier",0,0,0
"GA","Laurens",0,0,0
"GA","Lee",0,0,0
"GA","Liberty",0,0,0
"GA","Lincoln",0,0,0
"GA","Long",0,0,0
"GA","Lowndes",0,0,0
"GA","Lumpkin",0,0,0
"GA","Macon",0,0,0
"GA","Madison",0,0,0
"GA","Marion",0,0,0
"GA","McDuffie",0,0,0
"GA","McIntosh",0,0,0
"GA","Meriwether",0,0,0
"GA","Miller",0,0,0
"GA","Mitchell",0,0,0
"GA","Monroe",0,0,0
"GA","Montgomery",0,0,0
"GA","Morgan",0,0,0
"GA","Murray",0,0,0
"GA","Muscogee",0,0,0
"GA","Newton",1,0,0
