State,County,Dem.04,GOP.04,Dem.08,GOP.08,Dem.12,GOP.12,Dem.16,GOP.16
"NH","Cheshire",1054,601,615,593,20,91,193,1885
"NH","Grafton",1142,858,486,354,371,444,24,106
"NH","Strafford",1437,1139,1179,505,1255,788,304,502
"NH","Sullivan",137,17,2759,2325,1680,1604,1229,800
"NH","Merrimack",1676,1571,1390,683,1091,521,1664,1611
"NH","Coos",2626,2647,54,2837,522,700,913,661
"NH","Hillsborough",2729,2884,1840,1468,24,2891,354,826
"NH","Rockingham",2481,2658,2610,2611,2508,2726,2685,2
"NH","Carroll",318,462,1618,1069,1538,1179,2445,2774
"NH","Belknap",379,716,334,2760,2656,2306,1473,1284
"NJ","Atlantic",2105,1979,2345,1951,2158,1740,2200,2609
"NJ","Bergen",844,785,962,738,751,548,1984,1910
"NJ","Burlington",107,2839,318,2729,155,2593,847,628
"NJ","Camden",360,2646,542,2472,353,2303,94,2610
"NJ","Cape May",885,1286,975,1171,869,1124,409,2458
"NJ","Cumberland",1222,1061,1527,946,1327,766,713,1251
"NJ","Essex",824,2678,1027,2474,892,2269,1151,1072
"NJ","Gloucester",2341,2245,2526,2218,2408,2204,968,2285
"NJ","Hudson",262,2255,501,2092,345,1618,2213,2378
"NJ","Hunterdon",1135,1701,1303,1640,1081,1585,466,1848
"NJ","Mercer",2702,2176,86,1960,2704,1787,1240,1636
"NJ","Middlesex",571,295,768,260,665,24,2628,1757
"NJ","Monmouth",325,595,465,575,245,436,566,118
"NJ","Morris",2777,369,127,341,2643,179,359,637
"NJ","Ocean",2795,522,105,577,2744,417,159,281
"NJ","Passaic",2740,2540,136,2455,40,2217,2465,672
"NJ","Salem",356,546,550,465,413,446,140,2469
"NJ","Somerset",2333,2490,2558,2409,2367,2302,187,622
"NJ","Sussex",1021,1854,1258,1795,994,1591,2497,2331
"NJ","Union",195,2665,412,2561,328,2369,1016,1877
"NJ","Warren",656,1309,853,1185,658,1077,431,2398
"NM","Lea",1551,447,632,121,432,47,599,1295
"NM","Union",1716,457,2321,406,2076,491,406,2816
"NM","Curry",1515,69,2590,373,2293,372,1730,493
"NM","Catron",2094,429,2153,1369,1925,1306,2008,316
"NM","De Baca",1240,2459,1525,1204,1270,1219,1557,1391
"NM","Roosevelt",849,1993,1885,2823,1658,2778,869,1139
"NM","Chaves",2347,475,1556,2368,1266,2198,1182,2546
"NM","Otero",2303,412,1689,1205,1558,1192,749,2278
"NM","Lincoln",1248,2256,2451,269,2196,308,1567,1111
"NM","San Juan",440,1306,2581,2054,2365,2052,1905,349
"NM","Eddy",2385,343,512,2250,363,2025,2142,2041
"NM","Quay",392,1186,1135,1524,1127,1421,2653,2224
"NM","Torrance",1011,1719,2813,2787,2776,2752,503,1368
"NM","Sierra",751,1393,2014,353,1693,300,2415,2778
"NM","Harding",1126,1648,1537,2211,1295,2224,1608,265
"NM","Valencia",127,454,2152,1973,1993,1922,979,2216
"NM","Hidalgo",2631,92,1778,1627,1528,1575,1982,1443
"NM","Luna",1456,1772,598,2289,485,2089,1376,1499
"NM","Los Alamos",2017,2205,913,2128,760,2212,321,1952
"NM","Colfax",1249,1360,2649,296,2314,270,488,2367
"NM","Sandoval",880,987,504,1005,359,946,2108,205
"NM","Dona Ana",1390,1310,278,1689,135,1465,20,983
"NM","Bernalillo",310,248,984,1759,606,1689,2641,1549
"NM","Socorro",1684,1603,1439,1076,1169,1050,424,1641
"NM","Cibola",1649,1514,693,1198,504,1266,1167,1146
"NM","Grant",2417,2274,35,1060,2610,984,291,1240
"NM","Guadalupe",328,2778,2111,556,1940,519,2321,1014
